word,pole
genial,2
genius,2
gentle,2
gift,1
gifted,2
gladden,0
glamorous,1
glamour,2
gleam,1
glee,1
glisten,1
glitter,1
glorify,2
glory,1
glossy,2
glow,1
godlike,1
godliness,1
good,1
goodness,2
gorgeous,2
graceful,1
gracious,2
graduation,1
grand,1
grandeur,2
grateful,1
gratification,2
gratify,1
greatness,1
gusto,2
hallowed,1
handsome,2
handy,0
happiness,2
happy,2
hardy,1
harmonious,2
health,2
healthful,2
healthy,2
heaven,0
help,2
helpful,1
hero,1
heroic,2
heroine,2
heroism,2
highlight,1
homage,2
honest,1
honeymoon,2
honor,2
honorable,1
hope,1
hopeful,1
hospitable,2
hug,1
humanitarian,2
humanity,1
humor,2
humorous,0
hygiene,2
ideal,2
idolize,0
illustrious,1
imaginative,1
immaculate,2
impartial,1
imperative,0
importance,2
important,2
impress,0
impressive,1
improve,1
improvement,1
independent,1
indicative,1
indispensability,0
individuality,1
ingenious,2
innocence,1
innocent,1
innovative,2
inquisitive,2
insight,1
inspiration,1
inspirational,2
inspire,1
instinctive,1
integrity,2
intellect,1
intellectual,2
intelligence,2
intelligent,1
intelligible,1
interest,1
interested,2
intimacy,2
intimate,2
intrigue,1
invaluable,1
invite,1
invulnerable,1
jest,1
joke,1
jolly,2
joy,2
jubilant,0
just,2
justice,1
keen,1
kind,2
kindness,1
know,2
laudable,2
lawful,1
lead,1
legitimacy,0
liberal,2
like,1
lively,2
logical,2
longevity,1
love,2
loveliness,2
lovely,2
loyal,2
loyalty,1
lucid,2
lucky,2
lucrative,2
luminous,1
lust,2
luster,1
lustrous,1
luxuriant,2
luxurious,2
luxury,1
lyrical,2
magnificence,1
magnificent,1
main,1
majestic,2
major,2
make,2
manageable,2
manly,1
marvel,2
marvelous,2
masterful,2
mastery,1
matchless,2
maximize,1
meaningful,1
meet,2
memorable,1
mentor,1
merciful,2
merit,2
meritorious,1
merriment,2
merry,2
meticulous,2
mighty,1
mild,0
mindful,2
mint,1
miracle,1
miraculous,1
mirth,1
mobility,1
moderation,0
modernity,1
modest,1
momentous,1
moral,2
morale,1
moralistic,2
morality,2
natural,1
navigable,1
neat,1
nice,2
niche,1
nobility,1
noble,2
noiseless,0
nominate,1
notable,1
notoriety,1
nurse,1
nurture,1
nutrient,1
obedience,1
obedient,1
obey,1
objective,1
obtainable,2
offset,1
opportune,1
opportunity,2
optimal,2
optimism,1
optimistic,1
outset,1
outstanding,2
palatable,1
paradise,0
paramount,1
passionate,0
patience,2
patient,1
patriotic,1
peace,1
peaceable,1
peaceful,1
peerless,2
perfect,2
perfume,1
permission,1
perseverance,0
pertinent,1
picturesque,2
piety,1
pious,2
plain,2
plausibility,1
playful,1
pleasant,1
pleasantry,2
please,2
pleased,2
pleasurable,1
poignant,1
polite,2
politeness,2
popular,1
popularity,2
portable,1
positive,2
positiveness,1
positivity,1
practical,1
praise,2
precaution,0
precious,1
precise,2
preeminent,2
preference,1
premier,0
premium,2
prestige,1
pretty,2
priceless,1
pride,2
prime,0
principal,1
privacy,1
privileged,2
prize,2
prodigious,0
productive,2
productivity,1
profess,1
proficient,2
profit,1
profitable,1
profound,2
progress,2
progressive,2
prolific,2
prominence,1
prominent,1
proper,2
propitious,2
propriety,2
prosper,1
prosperity,1
prosperous,2
protective,1
proud,1
prowess,1
prudence,1
prudent,2
pure,1
purposeful,1
quaint,2
qualify,2
quality,2
radiant,1
rapture,1
rational,1
realistic,0
reasonable,2
reconcile,1
reconciliation,0
recreation,1
refine,1
refinement,2
regal,2
regard,1
reinstate,1
rejoice,2
reliability,2
reliable,1
relief,1
relieve,1
relish,2
remarkable,0
remedy,0
renewal,1
renovate,1
renown,0
repent,1
reputable,2
rescue,2
resolute,2
resolve,2
resourceful,1
respect,2
respectable,2
respectful,2
resplendent,2
responsible,2
restful,1
revere,0
reverence,2
reverent,2
revitalize,2
reward,2
richness,1
righteous,2
righteousness,2
rightful,1
ripe,1
ripen,1
romance,1
romantic,1
rosy,2
round,1
rouse,1
safe,2
safeguard,0
safety,1
sagacity,2
sage,1
salutary,2
salutation,1
salute,1
sane,2
sanguine,2
sanitary,1
sanity,1
satisfactory,1
satisfy,2
save,2
savings,2
savor,1
savvy,1
scruples,2
secure,1
security,1
selective,2
self-contained,1
self-respect,2
sensational,2
sense,1
sensible,2
serious,1
seriousness,2
share,1
shiny,2
shrewd,2
shrewdness,1
significance,1
significant,1
simplicity,1
sincere,2
sincerity,2
skill,1
skillful,2
sleek,1
smart,2
smile,1
sociable,2
solace,2
soothe,2
sophisticated,2
sound,2
soundness,1
spare,1
sparkle,1
spectacular,1
splendid,2
splendor,1
spotless,2
sprightly,1
stability,2
staple,1
stately,2
statuesque,2
staunch,2
steadfast,1
steadiness,1
straightforward,2
studious,1
stupendous,0
sturdy,1
stylish,1
suave,2
sublime,2
subsidize,1
subsist,1
subsistence,0
subtle,1
succeed,1
success,1
successful,2
suit,2
suitable,1
sumptuous,2
super,2
superior,2
superiority,2
superlative,2
support,1
supportive,1
sweeten,1
sweetheart,1
sympathize,1
sympathy,1
tact,2
talent,1
talented,2
temperance,1
tenacity,0
tenderness,1
terrific,0
thankful,1
therapeutic,2
thorough,2
thoughtful,1
thoughtfulness,1
thrifty,2
thrill,0
thrive,1
togetherness,1
tolerant,2
tranquil,2
tranquility,2
tribute,2
triumph,2
triumphant,0
trust,1
trustworthiness,2
trustworthy,2
truth,2
truthful,0
uncommon,1
understand,1
understandable,1
understood,1
unique,1
unity,2
unselfish,1
upbeat,2
upfront,2
upgrade,2
uplift,2
usefulness,1
valiant,2
valid,1
validity,1
valor,2
vanquish,1
vastness,0
venerable,1
venerate,2
verification,1
verify,2
veritable,1
versatile,0
versatility,1
viability,1
viable,1
victorious,2
vigilant,1
virtuous,2
vitality,2
vivacious,2
vivid,2
voluntary,1
vouchsafe,2
warm,1
warmhearted,1
welcome,2
welfare,1
well,2
wholesome,2
willing,2
willingness,1
wisdom,1
wise,2
witty,2
wonder,2
wonderful,2
wondrous,2
woo,1
workable,1
workmanship,1
worth,1
worthiness,2
worthy,2
zest,2
FALSE,-2
abandon,-1
abhor,-1
abject,-2
abnormal,-2
abominable,-1
abrasive,-1
abrupt,-1
absent,-1
absentee,-2
abuse,-2
abyss,-1
accident,-2
accursed,-1
ache,-1
admonition,-1
adulterate,-1
adverse,-1
adversity,-1
afflict,-1
affliction,-2
afraid,-1
aggravate,-1
aggravation,-1
aggressiveness,-1
agitation,-1
agonize,-2
agony,-2
ail,-2
ailment,-1
alarming,-1
alibi,-1
alien,-2
altercation,-1
ambivalent,-2
ambush,-1
amiss,-2
anguish,-2
animosity,-1
annihilation,-1
annoyance,-1
antagonistic,-1
antagonize,-1
antipathy,-1
antiquated,-1
anxiety,-1
anxiousness,-1
apathetic,-1
apathy,-2
appall,-1
apprehension,-1
arduous,-1
ashamed,-2
assail,-1
assault,-1
atrocious,-2
atrophy,-1
austere,-1
autocrat,-1
avarice,-1
avenge,-1
aversion,-1
awful,-2
awkward,-2
awkwardness,-1
babble,-1
backwardness,-1
bad,-2
baffle,-1
bafflement,-1
bait,-1
balk,-1
banal,-1
bane,-2
bankrupt,-2
barbarous,-2
barren,-1
bastard,-2
battle,-1
beastly,-1
beggar,-1
belated,-1
belittle,-1
bereave,-1
bereavement,-1
bereft,-2
berserk,-1
beset,-1
betray,-1
bewilder,-1
bewilderment,-1
bit,-1
bitchy,-2
bitterness,-1
bizarre,-1
blame,-1
bland,-1
blast,-1
bleak,-1
blemish,-2
blind,-1
block,-1
blockhead,-1
bloodshed,-1
bloodthirsty,-2
bloody,-1
blow,-1
blunder,-1
blur,-1
boastful,-1
bogus,-2
boisterous,-1
bolt,-1
bore,-1
boredom,-1
bother,-1
bothersome,-1
brat,-1
brawl,-1
broke,-1
bruise,-1
brusque,-1
brutality,-1
brute,-1
brutish,-1
bug,-1
bum,-2
bungle,-2
burden,-2
burdensome,-1
burn,-2
calamity,-1
callous,-1
cancer,-1
capture,-1
careen,-1
careless,-1
carelessness,-2
casualty,-2
catastrophe,-1
catch,-1
censure,-2
chafe,-1
chaos,-1
chaotic,-1
chastise,-2
cheap,-2
cheapen,-1
chide,-2
childish,-1
chronic,-1
clamor,-1
clamorous,-1
clash,-1
clumsy,-1
clutter,-1
cockiness,-2
cold,-2
collapse,-1
collide,-1
combat,-1
commiseration,-2
commotion,-2
complain,-2
complaint,-1
complicate,-1
conceal,-1
conceit,-1
condemn,-1
condescension,-1
confess,-1
confession,-1
confound,-1
confront,-1
confrontation,-1
confusion,-1
congested,-1
congestion,-1
consumptive,-1
contempt,-2
contemptible,-2
contemptuous,-2
contradiction,-1
contradictory,-1
cool,-1
corrosion,-1
corrupt,-2
counterfeit,-1
covert,-1
covet,-1
coward,-1
cramp,-2
crass,-1
craziness,-1
crazy,-1
criminal,-2
cringe,-1
cripple,-1
crisis,-1
criticize,-1
croak,-1
crook,-1
crooked,-1
crude,-1
cruel,-2
cruelty,-2
crush,-1
crushing,-2
culpable,-2
cumbersome,-1
curse,-1
cursory,-2
curt,-1
cynical,-2
cynicism,-1
damage,-2
damn,-1
damnable,-1
damned,-1
danger,-1
dangerous,-2
dark,-1
darkness,-1
daunting,-1
daze,-2
dead,-2
deadlock,-1
deadly,-1
decay,-1
deceit,-2
deceitful,-2
deceive,-2
deception,-2
deceptive,-2
decline,-1
default,-1
defeat,-1
defect,-1
defiant,-1
deficient,-2
defile,-1
defy,-1
degenerate,-1
dejected,-2
delinquent,-1
delirium,-1
deluge,-1
demean,-1
demise,-2
demolish,-1
demon,-1
demoralize,-2
dent,-1
deny,-2
dependent,-2
deplorable,-2
depraved,-2
depreciate,-1
depress,-1
depression,-1
deprive,-1
deride,-1
derisive,-2
derogatory,-2
desert,-1
desire,-1
desolate,-1
despair,-1
desperate,-1
desperation,-1
despicable,-1
despise,-1
destitute,-2
destructive,-2
detachment,-1
deterrent,-1
detest,-2
detestable,-2
detrimental,-2
deviation,-1
devil,-1
devilish,-2
devoid,-1
diabolic,-2
diabolical,-2
difficult,-2
difficulty,-1
dilemma,-1
dim,-2
din,-1
dire,-1
dirt,-2
dirty,-2
disable,-1
disadvantage,-2
disagreeable,-2
disappoint,-1
disappointment,-2
disapproval,-1
disapprove,-2
disarm,-1
disaster,-1
disastrous,-2
disavowal,-1
discomfort,-1
disconcerted,-1
discontent,-2
discord,-1
discordant,-2
discouragement,-1
discredit,-1
discrepant,-2
disdain,-2
diseased,-1
disgrace,-2
disguise,-1
disgust,-1
dishearten,-1
dishonest,-2
dishonor,-2
disingenuous,-2
dislike,-1
dismal,-2
disobedient,-2
disorder,-1
disorganized,-1
displease,-1
displeasure,-1
disproportionate,-1
disprove,-1
dispute,-1
disregard,-1
dissatisfaction,-1
dissatisfied,-1
distortion,-1
distraction,-1
distress,-2
disturb,-1
divide,-1
dizzy,-2
doom,-2
doubtful,-1
downfall,-2
downhearted,-2
drab,-1
drag,-1
dread,-2
dreadful,-2
dreary,-1
dubious,-1
dumb,-1
dump,-1
dunce,-1
dying,-2
eccentric,-1
embarrass,-1
emergency,-1
endanger,-1
enforce,-1
enrage,-2
entangle,-1
erode,-1
err,-1
erroneous,-2
error,-2
estranged,-2
evasion,-1
evict,-1
evil,-2
exasperation,-1
excess,-1
excessive,-1
exempt,-1
expedient,-1
explosive,-1
extinct,-1
extravagant,-1
fabrication,-2
fail,-1
faint,-2
fake,-2
fallacy,-1
falter,-1
famished,-1
fanatic,-1
fanatical,-1
fatal,-1
fatigue,-1
fault,-2
fear,-2
fearful,-1
fearsome,-2
feeble,-1
feign,-1
feint,-1
ferocity,-1
fiasco,-1
fickle,-1
fidget,-1
fiend,-1
filth,-2
filthy,-2
fix,-1
flagrant,-2
flaw,-1
flimsy,-1
flounder,-1
foreboding,-1
foreign,-1
forfeit,-1
forlorn,-1
forsake,-1
founder,-2
fracture,-1
fragile,-2
frantic,-1
fraud,-1
fraudulent,-2
fraught,-2
freak,-1
fret,-1
fretful,-2
frightful,-2
frigid,-1
frivolous,-2
frown,-2
fruitless,-1
frustration,-1
fumble,-1
fury,-1
fuss,-1
fussy,-2
gall,-2
gaudy,-1
ghastly,-1
gloat,-2
gloomy,-1
glum,-2
grief,-2
grieve,-1
grim,-2
grotesque,-1
growl,-1
grudge,-2
gruff,-2
grumble,-1
guerrilla,-1
guilt,-2
guilty,-1
guise,-1
hack,-1
hag,-1
haggard,-2
handicap,-2
hapless,-2
harass,-1
harassment,-1
hard,-2
hardship,-1
harm,-2
harmful,-2
harsh,-2
hassle,-1
hate,-2
hater,-1
hatred,-1
havoc,-1
hazard,-1
hazy,-1
heartless,-2
heedless,-1
heinous,-2
hell,-1
helpless,-1
helplessness,-1
hideous,-2
hobble,-1
hopeless,-2
horrible,-2
horrid,-2
hostile,-2
hostility,-2
humiliate,-2
hunger,-1
hurt,-2
hurtful,-1
hysteria,-1
idiot,-1
ignorant,-1
ill,-2
illegality,-1
illiterate,-1
immature,-1
immoral,-2
immorality,-1
immovable,-2
impair,-1
impasse,-1
impatience,-2
impatient,-1
imperfect,-1
impersonal,-2
impetuous,-2
imprecision,-1
improper,-2
impure,-1
inability,-1
inaccuracy,-2
inadequate,-1
incompatibility,-1
incompetence,-1
incompetent,-2
inconsistency,-1
inconvenient,-2
incorrect,-2
indecent,-2
indefinite,-1
indeterminable,-1
indeterminate,-1
indifference,-1
ineffective,-2
ineffectiveness,-1
ineffectual,-2
ineffectualness,-1
inefficiency,-1
inequality,-2
inexact,-1
inexplicable,-1
infamous,-2
inferior,-2
inferiority,-1
inflame,-2
inflict,-2
ingratitude,-1
inhumane,-2
injunction,-1
injure,-1
injurious,-1
injury,-2
insane,-1
insecure,-1
insecurity,-1
insensible,-1
insidious,-1
insignificant,-1
insolent,-1
insufficiency,-1
insufficient,-2
insult,-1
intolerable,-2
intrude,-1
invalid,-2
invisible,-1
involuntary,-2
irrational,-1
irregular,-1
irritable,-1
irritation,-1
jar,-1
jeer,-1
jeopardize,-1
jeopardy,-1
jobless,-2
junk,-1
kidnap,-1
kill,-1
killer,-1
lame,-1
lament,-2
lamentable,-2
languish,-1
lapse,-1
lawless,-1
lay,-2
liable,-2
liar,-2
lifeless,-1
limit,-1
limp,-1
liquidate,-1
lone,-1
lonely,-1
lose,-1
loser,-1
loss,-1
lost,-2
loveless,-1
low,-1
lower,-1
lowly,-2
lunatic,-1
lure,-1
madman,-1
madness,-1
maladjusted,-1
maladjustment,-2
malady,-1
malice,-2
malicious,-1
manipulate,-1
mar,-1
massacre,-1
matter,-1
meager,-2
meaningless,-1
mediocre,-2
melancholy,-2
menace,-1
menial,-1
mess,-1
mind,-1
mine,-1
misbehave,-1
misbehavior,-2
mischief,-2
mischievous,-1
miserable,-2
misery,-1
misfortune,-1
mishandle,-2
mishap,-2
misinform,-1
misinformed,-1
mislead,-2
miss,-1
mistake,-2
mistaken,-1
mistrust,-1
misunderstand,-2
misunderstanding,-2
misunderstood,-2
misuse,-2
moan,-2
mock,-1
monotonous,-1
monotony,-1
moody,-1
mortify,-1
motionless,-2
motley,-1
mourn,-2
mourner,-1
muddle,-1
muddy,-2
mumble,-1
murder,-2
mutter,-2
nag,-1
nasty,-2
naughty,-1
nebulous,-1
needle,-1
needy,-2
negation,-1
negative,-2
neglect,-1
negligent,-1
nervousness,-1
neurotic,-1
nightmare,-1
nonchalant,-1
nosey,-1
notorious,-2
nullify,-1
numb,-1
nuts,-1
oblique,-1
obliterate,-1
obnoxious,-2
obscure,-1
obsolete,-1
obstinate,-2
obstruction,-1
offend,-1
offensive,-1
ominous,-2
omission,-1
opponent,-1
opposition,-2
oppress,-1
ordeal,-1
outbreak,-1
outlaw,-2
outrage,-1
outrageous,-2
outsider,-2
overbearing,-1
overlook,-1
overpower,-1
oversight,-1
overturn,-1
pain,-2
painful,-2
paltry,-1
pandemonium,-1
panic,-1
paralyzed,-1
paranoid,-2
parasite,-1
pathetic,-2
peculiar,-1
peril,-1
perilous,-1
perplex,-1
perplexity,-2
perturb,-1
perverse,-1
pervert,-2
pessimism,-2
pessimistic,-1
pest,-1
petty,-2
pinch,-1
pitiful,-1
pitiless,-2
plague,-1
plight,-2
pointless,-1
poison,-1
poisonous,-1
pompous,-1
poor,-2
pout,-1
poverty,-2
powerless,-1
precarious,-1
precipitate,-1
predicament,-2
prejudice,-2
prejudicial,-2
presumptuous,-1
pretend,-1
pretense,-1
prison,-1
problem,-2
prohibitive,-1
provocation,-1
puny,-1
puzzlement,-1
quandary,-2
quarrel,-1
queer,-1
rage,-1
raid,-1
rampant,-2
rascal,-1
reactionary,-1
rebellious,-1
rebuff,-2
rebuke,-2
recalcitrant,-1
recede,-1
reckless,-2
recoil,-1
redundant,-1
refrain,-1
refuse,-1
regardless,-2
regret,-2
regrettable,-2
reject,-1
reluctant,-1
remorse,-1
renunciation,-1
reprehensible,-2
reproach,-2
repugnant,-2
repulsive,-2
resent,-1
resentful,-2
resentment,-1
restless,-2
retaliate,-1
retard,-1
retreat,-1
revenge,-1
revoke,-1
ridiculous,-2
rigid,-2
rigor,-1
rip,-1
robber,-1
robbery,-1
rogue,-1
rot,-2
rotten,-2
rough,-1
roughness,-1
roundabout,-1
rubbish,-1
rude,-2
rue,-1
ruffian,-2
ruin,-1
ruinous,-2
ruthless,-2
ruthlessness,-2
sad,-2
sadness,-2
sarcastic,-2
savage,-2
scald,-1
scandal,-1
scandalous,-1
scapegoat,-1
scarcity,-1
scared,-1
scary,-2
scoff,-1
scold,-2
scorch,-1
scorn,-2
scornful,-2
scoundrel,-1
scowl,-2
scuffle,-1
secret,-1
selfishness,-2
senseless,-1
service,-1
severe,-2
severity,-2
shadow,-1
shallow,-1
shame,-2
shameful,-1
shameless,-1
shark,-1
shipwreck,-1
shiver,-1
shock,-2
shoddy,-2
short,-2
shortcoming,-1
shortsighted,-1
shred,-1
shrew,-2
shrug,-1
shyness,-1
sick,-2
sickly,-2
silly,-1
sin,-1
sinful,-2
sinister,-2
skeptical,-1
slander,-1
slanderous,-2
slayer,-1
sleepless,-2
slight,-1
slime,-1
sloppy,-1
sloth,-1
smack,-1
smash,-1
smear,-2
smother,-1
smuggle,-1
snare,-1
snarl,-1
sneer,-1
sob,-1
somber,-1
sore,-2
sorrow,-2
sorrowful,-2
sorry,-2
sour,-1
spite,-2
spiteful,-1
spoil,-2
sprain,-2
stab,-1
stagnant,-2
stain,-2
stalemate,-1
stammer,-1
standstill,-1
startle,-1
starve,-1
static,-2
steal,-1
sting,-2
stink,-2
stole,-1
stolen,-1
stormy,-2
straggle,-1
straggler,-1
strain,-1
stray,-2
stricken,-1
strife,-1
strike,-1
stringent,-1
struck,-1
stubborn,-2
stubbornness,-2
stuffy,-1
stunt,-2
stupid,-2
stupidity,-2
stupor,-2
subside,-1
sufferer,-1
sullen,-1
sunder,-1
superficial,-1
superfluous,-2
suspect,-1
suspend,-1
suspicious,-2
taint,-1
tantrum,-1
tardy,-1
taunt,-1
tease,-1
tedious,-1
temper,-1
tempest,-1
terrible,-2
terror,-1
terrorize,-1
thirst,-1
thorny,-2
thrash,-1
threaten,-1
tiresome,-1
torment,-1
torturous,-1
touchy,-1
tragedy,-1
tragic,-2
tramp,-1
trample,-1
trap,-1
trauma,-2
traumatic,-1
treacherous,-1
trick,-2
trivial,-1
trouble,-1
troublesome,-2
truant,-1
trudge,-1
turbulent,-2
turmoil,-2
twitch,-1
tyranny,-1
ugly,-1
unaccustomed,-2
unauthentic,-1
unavoidable,-1
unbearable,-2
unclean,-2
uncomfortable,-2
undependability,-1
undependable,-2
undesirable,-1
undignified,-1
undone,-1
undue,-1
uneasiness,-1
uneasy,-1
unemployed,-2
unequal,-1
uneven,-1
unfaithful,-2
unfamiliar,-2
unfavorable,-2
unfeeling,-1
unfit,-1
unforeseen,-1
unfortunate,-2
unfriendly,-2
ungrateful,-2
unguarded,-1
unhappiness,-2
unhappy,-2
unhealthy,-2
unjustified,-1
unlawful,-2
unlucky,-2
unnatural,-2
unnoticed,-1
unobserved,-1
unpleasant,-1
unprofitable,-2
unreliability,-1
unreliable,-2
unruly,-1
unsafe,-1
unsatisfactory,-1
unscrupulous,-2
unseen,-1
unsound,-2
unstable,-1
unsteadiness,-1
unsuccessful,-1
untimely,-2
untrained,-1
untrue,-2
untrustworthy,-2
unwilling,-2
unwillingness,-1
uproar,-1
upset,-2
useless,-1
usurp,-1
vagabond,-2
vagrant,-2
vague,-1
vain,-2
vanish,-1
vanity,-1
vengeance,-1
venom,-1
venomous,-2
veto,-2
vexation,-1
vexing,-2
vicious,-2
vile,-1
villain,-1
violate,-1
viper,-1
void,-1
wail,-2
wanton,-2
warp,-2
wastefulness,-1
wayward,-1
wear,-1
weariness,-1
wearisome,-1
weep,-2
weird,-2
whack,-1
whimper,-1
wicked,-1
wild,-1
wilt,-2
wince,-1
woe,-2
woeful,-2
worn,-1
worrier,-1
worry,-1
worse,-2
worsen,-1
worst,-2
worthless,-1
wound,-1
wrath,-1
wreck,-2
wretch,-1
wretchedness,-1
wrong,-2
wrongful,-2
yawn,-1
yelp,-1
great,2
superb,2
meh,0
garbage,-2
trash,-2
cheesy, -1
